seed=29
gen=68	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=69	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=70	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=71	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=72	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=73	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=74	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=75	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=76	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=77	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=78	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=79	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=80	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=81	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=82	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=83	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=84	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=85	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=86	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=87	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=88	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=89	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=90	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=91	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=92	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=93	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=94	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=95	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=96	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=97	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=98	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=99	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=100	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=101	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=102	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=103	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=104	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=105	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=106	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=107	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=108	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=109	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=110	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=111	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=112	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=113	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=114	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=115	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=116	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=117	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=118	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=119	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=120	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=121	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=122	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=123	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=124	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=125	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
gen=126	fitness=582.642240988681	tour=[21, 3, 11, 0, 5, 20, 16, 8, 7, 2, 1, 12, 10, 17, 23, 6, 4, 18, 14, 24, 15, 9, 19, 13, 22]
