seed=6
gen=138	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=139	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=140	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=141	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=142	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=143	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=144	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=145	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=146	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=147	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=148	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=149	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=150	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=151	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=152	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=153	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=154	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=155	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=156	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=157	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=158	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=159	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=160	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=161	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=162	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=163	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=164	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=165	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=166	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=167	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=168	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=169	fitness=0.000027020031	chromosome=11010101000100011000111000100010	decoded=[2.990730, 0.496933]
gen=170	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
gen=171	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
gen=172	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
gen=173	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
gen=174	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
gen=175	fitness=0.000016033814	chromosome=11010101011101101000111001000110	decoded=[3.004601, 0.501877]
