seed=32
gen=105	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=106	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=107	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=108	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=109	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=110	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=111	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=112	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=113	fitness=43.941010499405	position=[-1.912902, 0.090549, 0.804763, 0.901134, -0.940384, 0.936312, -0.074436, 0.636543, -0.853140, -0.954129]
gen=114	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=115	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=116	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=117	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=118	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=119	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=120	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=121	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=122	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=123	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=124	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=125	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=126	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=127	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=128	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
