seed=23
gen=94	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=95	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=96	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=97	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=98	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=99	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=100	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=101	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=102	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=103	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=104	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=105	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=106	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=107	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=108	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=109	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=110	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=111	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=112	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=113	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=114	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=115	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=116	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=117	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=118	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=119	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=120	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=121	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
gen=122	fitness=32.586413655697	position=[1.054727, 0.012542, 0.172925, 1.100217, -1.030835, 0.154454, -0.095614, 0.954123, -0.743912, 0.900234]
