seed=2
gen=240	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=241	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=242	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=243	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=244	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=245	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=246	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=247	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=248	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=249	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=250	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=251	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=252	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=253	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=254	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=255	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=256	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=257	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=258	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=259	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=260	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=261	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=262	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=263	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=264	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=265	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=266	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=267	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=268	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=269	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=270	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=271	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=272	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=273	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=274	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=275	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=276	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=277	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=278	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=279	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=280	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=281	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=282	fitness=0.000008424558	position=[3.007110, 0.501888]
