seed=7
gen=338	fitness=0.000017029105	position=[2.989758, 0.497404]
gen=339	fitness=0.000015860893	position=[2.990878, 0.497404]
gen=340	fitness=0.000015860893	position=[2.990878, 0.497404]
gen=341	fitness=0.000015860893	position=[2.990878, 0.497404]
gen=342	fitness=0.000015860893	position=[2.990878, 0.497404]
gen=343	fitness=0.000015860893	position=[2.990878, 0.497404]
gen=344	fitness=0.000013966011	position=[2.990878, 0.497880]
gen=345	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=346	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=347	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=348	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=349	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=350	fitness=0.000013335897	position=[2.993682, 0.497880]
gen=351	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=352	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=353	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=354	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=355	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=356	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=357	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=358	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=359	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=360	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=361	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=362	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=363	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=364	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=365	fitness=0.000010617053	position=[2.992591, 0.497880]
gen=366	fitness=0.000010530219	position=[2.992403, 0.497880]
gen=367	fitness=0.000010530219	position=[2.992403, 0.497880]
gen=368	fitness=0.000010530219	position=[2.992403, 0.497880]
gen=369	fitness=0.000009190423	position=[2.992945, 0.498020]
gen=370	fitness=0.000009190423	position=[2.992945, 0.498020]
gen=371	fitness=0.000009190423	position=[2.992945, 0.498020]
gen=372	fitness=0.000009056948	position=[2.992945, 0.498458]
gen=373	fitness=0.000009056948	position=[2.992945, 0.498458]
gen=374	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=375	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=376	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=377	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=378	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=379	fitness=0.000007381693	position=[2.995499, 0.498458]
gen=380	fitness=0.000007250414	position=[2.993427, 0.498254]
gen=381	fitness=0.000007250414	position=[2.993427, 0.498254]
gen=382	fitness=0.000007250414	position=[2.993427, 0.498254]
gen=383	fitness=0.000007250414	position=[2.993427, 0.498254]
gen=384	fitness=0.000007072500	position=[2.993427, 0.498434]
gen=385	fitness=0.000007072500	position=[2.993427, 0.498434]
gen=386	fitness=0.000003665983	position=[2.995499, 0.499015]
gen=387	fitness=0.000003665983	position=[2.995499, 0.499015]
gen=388	fitness=0.000003665983	position=[2.995499, 0.499015]
gen=389	fitness=0.000003665983	position=[2.995499, 0.499015]
gen=390	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=391	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=392	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=393	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=394	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=395	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=396	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=397	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=398	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=399	fitness=0.000002445531	position=[2.996773, 0.499015]
gen=400	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=401	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=402	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=403	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=404	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=405	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=406	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=407	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=408	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=409	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=410	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=411	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=412	fitness=0.000002298096	position=[2.996773, 0.499364]
gen=413	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=414	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=415	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=416	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=417	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=418	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=419	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=420	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=421	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=422	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=423	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=424	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=425	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=426	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=427	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=428	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=429	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=430	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=431	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=432	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=433	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=434	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=435	fitness=0.000000947191	position=[2.997697, 0.499364]
