seed=23
gen=49	fitness=11.160827330043	chromosome=0110011011010000011111100111010001111110001110000110100000100100100000001001001010011001010001000111110101001101100110010000111101111101111101110111110111011100	decoded=[-1.007437, -0.061798, -0.071173, -0.954311, 0.022891, 1.010719, -0.107892, 1.002437, -0.081329, -0.085548]
gen=50	fitness=11.160827330043	chromosome=0110011011010000011111100111010001111110001110000110100000100100100000001001001010011001010001000111110101001101100110010000111101111101111101110111110111011100	decoded=[-1.007437, -0.061798, -0.071173, -0.954311, 0.022891, 1.010719, -0.107892, 1.002437, -0.081329, -0.085548]
gen=51	fitness=11.160827330043	chromosome=0110011011010000011111100111010001111110001110000110100000100100100000001001001010011001010001000111110101001101100110010000111101111101111101110111110111011100	decoded=[-1.007437, -0.061798, -0.071173, -0.954311, 0.022891, 1.010719, -0.107892, 1.002437, -0.081329, -0.085548]
gen=52	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=53	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=54	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=55	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=56	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=57	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=58	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=59	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=60	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=61	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
