seed=7
gen=112	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=113	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=114	fitness=17.889219297845	position=[1.961944, 0.946417, 0.014805, 0.990834, -1.025896, 0.999646, 0.009145, 1.977318, 0.976757, -1.985079]
gen=115	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=116	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=117	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=118	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=119	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=120	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=121	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=122	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=123	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=124	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=125	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=126	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=127	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=128	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=129	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=130	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=131	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=132	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=133	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
