seed=3
gen=95	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=96	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=97	fitness=14.017974610340	position=[0.000499, -1.992999, -0.008388, -1.976694, 0.991449, -0.998501, 0.998332, 0.990744, 0.988051, -1.004481]
gen=98	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=99	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=100	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=101	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=102	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=103	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=104	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=105	fitness=14.010132021449	position=[0.006392, -1.992926, -0.008830, -1.979537, 0.996692, -0.996404, 0.997679, 0.989556, 0.992501, -1.006097]
gen=106	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=107	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=108	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=109	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=110	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=111	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=112	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=113	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=114	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=115	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=116	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=117	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=118	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=119	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=120	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=121	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=122	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=123	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=124	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=125	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=126	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=127	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=128	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=129	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=130	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=131	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=132	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=133	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=134	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=135	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=136	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=137	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=138	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=139	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=140	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=141	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=142	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=143	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=144	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=145	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=146	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=147	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=148	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=149	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=150	fitness=13.981771271015	position=[0.004322, -1.994343, -0.005126, -1.980791, 0.989423, -0.990317, 0.997912, 0.992722, 0.987904, -0.995883]
gen=151	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=152	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=153	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=154	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=155	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=156	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=157	fitness=13.981711358963	position=[-0.001808, -1.993878, -0.011352, -1.980903, 0.991007, -0.993071, 0.991014, 0.994944, 0.995399, -0.994934]
gen=158	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=159	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=160	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=161	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=162	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=163	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=164	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=165	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
gen=166	fitness=12.420310060244	position=[0.022368, -1.997362, -0.012888, -1.072402, 1.004114, -1.008889, 1.010988, 0.994249, 0.988826, -1.010353]
