seed=11
gen=89	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
gen=90	fitness=8.850759499807	position=[-1.001797, 1.010271, 1.012763, 1.006039, -0.986737, -0.017683, -1.010705, -0.963830, -0.974840, -0.042267]
gen=91	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=92	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=93	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=94	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=95	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=96	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=97	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=98	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=99	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=100	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=101	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=102	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=103	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=104	fitness=8.722860526579	position=[-1.005008, 1.006042, 1.015930, 1.005470, -0.993344, -0.012622, -1.017547, -0.960961, -0.980400, -0.032327]
gen=105	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=106	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=107	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=108	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=109	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=110	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=111	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=112	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=113	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=114	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=115	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=116	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=117	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=118	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=119	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=120	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=121	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=122	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=123	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=124	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=125	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=126	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=127	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=128	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=129	fitness=8.657205334604	position=[-1.005462, 1.002979, 1.019398, 1.008184, -0.991731, -0.008166, -1.016571, -0.973157, -0.968039, -0.028863]
gen=130	fitness=8.587895851112	position=[-0.977500, 1.029018, 1.010884, 0.993177, -0.977324, -0.005940, -1.021512, -0.987407, -0.977374, -0.005759]
