seed=10
gen=105	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=106	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=107	fitness=25.249270728113	position=[-1.011496, -1.016615, -0.994249, 1.007386, 1.004011, -0.015690, -0.992487, 0.977283, -2.978488, -2.967198]
gen=108	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=109	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=110	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=111	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=112	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=113	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=114	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=115	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=116	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=117	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=118	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=119	fitness=25.238022783031	position=[-1.011824, -0.999818, -0.986470, 0.971808, 0.972810, 0.005917, -0.978200, 0.999648, -2.989307, -2.993574]
gen=120	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=121	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=122	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=123	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=124	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=125	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=126	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=127	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=128	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=129	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=130	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=131	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=132	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=133	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=134	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=135	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=136	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=137	fitness=25.190856291980	position=[-1.010902, -1.011086, -0.998018, 0.978712, 0.982294, -0.008217, -0.991303, 0.992591, -3.000705, -3.002580]
gen=138	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=139	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=140	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=141	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=142	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=143	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=144	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=145	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=146	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=147	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=148	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=149	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=150	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=151	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=152	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=153	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=154	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=155	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=156	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=157	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=158	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=159	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=160	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=161	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=162	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
