seed=4
gen=52	fitness=17.320257795338	position=[-0.993945, -0.062619, 0.010783, -1.026533, -0.028880, 1.975993, -0.992046, -0.023108, -3.007478, -0.000911]
gen=53	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=54	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=55	fitness=17.017660444629	position=[-1.005293, -0.026108, -0.011128, -1.020939, -0.006779, 2.008045, -0.977270, -0.010175, -3.037834, -0.019074]
gen=56	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=57	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=58	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=59	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=60	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=61	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=62	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=63	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=64	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=65	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=66	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=67	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=68	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=69	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=70	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=71	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=72	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=73	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=74	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=75	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=76	fitness=16.834437337464	position=[-0.962068, 0.008913, -0.036973, -1.049257, 0.024868, 1.046016, -1.043445, 0.029471, -3.066813, -0.033982]
gen=77	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=78	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=79	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=80	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=81	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
