seed=9
gen=81	fitness=12.586397011682	position=[-1.015291, 0.068984, 0.989288, 1.041234, 1.958550, -0.939191, 0.047554, 1.048688, -0.012737, -0.041692]
gen=82	fitness=12.586397011682	position=[-1.015291, 0.068984, 0.989288, 1.041234, 1.958550, -0.939191, 0.047554, 1.048688, -0.012737, -0.041692]
gen=83	fitness=12.586397011682	position=[-1.015291, 0.068984, 0.989288, 1.041234, 1.958550, -0.939191, 0.047554, 1.048688, -0.012737, -0.041692]
gen=84	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=85	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=86	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=87	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=88	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=89	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=90	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=91	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=92	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=93	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=94	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=95	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=96	fitness=12.443580124704	position=[-0.966591, 0.091193, 0.959249, 1.004628, 1.947157, -0.967226, 0.055979, 1.020289, -0.022856, -0.022396]
gen=97	fitness=11.777837869903	position=[-1.028459, 0.070837, 0.964529, 1.037072, 1.976581, -0.964491, -0.011349, 1.053178, 0.000798, -0.029935]
gen=98	fitness=11.777837869903	position=[-1.028459, 0.070837, 0.964529, 1.037072, 1.976581, -0.964491, -0.011349, 1.053178, 0.000798, -0.029935]
gen=99	fitness=11.777837869903	position=[-1.028459, 0.070837, 0.964529, 1.037072, 1.976581, -0.964491, -0.011349, 1.053178, 0.000798, -0.029935]
gen=100	fitness=11.777837869903	position=[-1.028459, 0.070837, 0.964529, 1.037072, 1.976581, -0.964491, -0.011349, 1.053178, 0.000798, -0.029935]
gen=101	fitness=11.682267207416	position=[-1.020440, 0.067664, 0.972404, 1.024478, 1.955405, -0.995011, -0.002470, 1.070821, 0.011006, -0.015305]
